data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6158064,368,IRQ21519,21519,"13 October 2019",2019,2,Protests,"Peaceful protest","Protesters (Iraq)",,6,,,0,60,"Middle East",Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,1,"Baghdad Post",National,"Reported on 13 October 2019, a protest was held in Basrah against the killing of a social and political activist and his wife. [size=no report]",0,1571686959,IRQ
6024275,368,IRQ21496,21496,"12 October 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Journalists (Iraq)",6,,,0,60,"Middle East",Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,1,"Al Mirbad",National,"On Oct 12, a number of activists and journalists organized a protest in central Basrah city condemning the killing of activist Hussein Adel and his wife in their home by unidentified men last week. [size=no report]",0,1571093047,IRQ
6024457,368,IRQ21497,21497,"12 October 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Kurdish Ethnic Group (Iraq)",6,,,0,60,"Middle East",Iraq,Erbil,Erbil,,Erbil,36.1926,44.0106,1,Rudaw,National,"On Oct 12, hundreds of Kurds gathered in front of the UN complex in Erbil city in opposition to Turkey's military incursion into northeastern Syria and the failure of the international community to stop it. [size=hundreds]",0,1571093047,IRQ
6024456,368,IRQ21491,21491,"10 October 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Kurdish Ethnic Group (Iraq)",6,,,0,60,"Middle East",Iraq,Sulaymaniyah,Sulaymaniyah,,Sulaymaniyah,35.565,45.4329,1,Rudaw,National,"On Oct 10, Kurdish protesters gathered in Sulaymaniyah city for the second day against Turkish military incursion into Kurdish-controlled areas within northern Syria. [size=no report]",0,1571093047,IRQ
6024430,368,IRQ21481,21481,"09 October 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Kurdish Ethnic Group (Iraq)",6,,,0,60,"Middle East",Iraq,Sulaymaniyah,Sulaymaniyah,,Sulaymaniyah,35.565,45.4329,1,"NRT News",National,"On Oct 09, a number of people (mainly Kurds) gathered in downtown Sulaymaniah city to protest against the Turkish offensive in northeastern Syria. [size=no report]",0,1571093047,IRQ
6029646,368,IRQ21479,21479,"08 October 2019",2019,1,Riots,"Violent demonstration","Rioters (Iraq)",,5,"Police Forces of Iraq (2018-)",,1,15,"Middle East",Iraq,Baghdad,Baghdad,,Baghdad,33.3248,44.4213,1,"NRT News; Liveuamap; Sotaliraq; Twitter","Local partner-New media","On Oct 08, hundreds of demonstrators took to the streets in Hamza, Aden and al Mudhaffar squares in Baghdad, and police were reportedly dispersing these demonstrations with live ammo, injuring a number of demonstrators. Demonstrators also set fire to tires outside the municipal council building and courthouse in Mudhaffar Square [size=hundreds]",0,1571164377,IRQ
6024278,368,IRQ21473,21473,"07 October 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)",,6,,,0,60,"Middle East",Iraq,Qadissiya,Diwaniya,,Diwaniya,31.9929,44.9255,1,"Al Mirbad",National,"On Oct 07, dozens of protesters took to the streets in Diwaniyah city amid tight security measures. [size=dozens]",0,1571093047,IRQ
6024280,368,IRQ21472,21472,"07 October 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Labour Group (Iraq)",6,,,0,60,"Middle East",Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,1,"Al Mirbad",National,"On Oct 07, employees of the Southern Railways in Basra protested against the cancellation of the decision by the Minister of Transport to reallocate land to employees of the Southern Railways. [size=no report]",0,1571093047,IRQ
6024224,368,IRQ21464,21464,"06 October 2019",2019,1,Riots,"Violent demonstration","Rioters (Iraq)",,5,"Police Forces of Iraq (2018-)","Military Forces of Iraq (2018-)",1,15,"Middle East",Iraq,Baghdad,"Sadr City",,"Baghdad - Sadr City",33.3912,44.4575,1,"NRT News; Al Jazeera; AP; Reuters",National-Regional,"On Oct 06, hundreds of demonstrators took to the streets near Sadr City in Baghdad, trying to reach Tahrir Square and army troops blocked the main road, then fired on them to push them back. Gunfire by police backed by the military continued, demonstrators set tires on fire. These clashes left 15 demonstrators killed and more than 50 others wounded as they repeatedly tried to break through a security cordon to head to the city center. [size=hundreds]",15,1571093047,IRQ
6024226,368,IRQ21466,21466,"06 October 2019",2019,1,Riots,"Violent demonstration","Rioters (Iraq)",,5,"Police Forces of Iraq (2018-)",,1,15,"Middle East",Iraq,Thi-Qar,Nassriya,,Nassriya,31.058,46.2573,1,"Al Mirbad; Sotaliraq",National,"On Oct 06, dozens of demonstrators for the sixth day went out to demonstrate in Nassiriyah city in Thi-Qar province, and security forces dispersed the demonstration as clashes between both groups left 14 people injured (among them 3 security personnel). [size=dozens]",0,1571093047,IRQ
